Brand,Room_Size_in_Sq/f,Stars,Tons,Power_Usage_in_Watts,Launch_Year,Price,Original_Price,Discount(%),Warranty_in_Years,Ratings,No_of_Ratings,No_of_Reviews
Panasonic,150,5.0,1.5,774.19,2024,42650,63400,32,1.0,4.3,20029,2152
LG,200,3.0,2.0,1218.49,2025,47990,82794,42,1.0,4.1,1471,111
LG,150,3.0,1.5,1115.04,2023,73990,57798,40,1.0,4.1,4633,439
Voltas,90,3.0,1.0,672.93,2025,27990,52390,46,5.0,4.1,7833,861
ONIDA,150,3.0,1.5,952.59,2025,27270,42290,35,1.0,4.1,15075,1776
LG,90,5.0,1.0,521.2,2024,75990,57798,40,1.0,4.2,7074,769
Haier,150,5.0,1.5,925.24,2023,37850,71500,47,5.0,4.1,2092,252
Godrej,90,5.0,1.0,516.37,2025,30490,45050,32,5.0,4.0,2352,235
CARRIER,150,5.0,1.5,754.05,2025,39490,70100,43,1.0,4.2,24631,3377
IFB,150,3.0,1.5,991.28,2024,33850,62990,46,1.0,4.2,7601,805
Voltas,150,3.0,1.5,859.325,2024,28990,45990,36,1.0,4.2,12192,1216
Whirlpool,150,5.0,1.5,728.95,2025,32990,47000,29,1.0,4.2,20918,2369
TCL,90,3.0,1.0,657.31,2025,23990,50991,52,1.0,3.9,206,25
Godrej,150,3.0,1.5,951.91,2025,29490,42300,30,5.0,4.0,18307,1520
Hisense,90,3.0,1.0,859.325,2025,28990,39630,26,1.0,4.1,457,87
Panasonic,150,5.0,1.5,774.19,2024,42850,65400,34,1.0,4.3,20029,2152
Panasonic,90,5.0,1.0,524.08,2024,34970,54100,35,1.0,4.2,3865,426
Samsung,150,5.0,1.5,859.325,2025,41490,79190,47,5.0,4.2,25552,2605
Hitachi,150,3.0,1.5,859.325,2025,33490,57400,41,1.0,4.0,10198,1239
CARRIER,150,3.0,1.5,859.325,2025,28499,47590,40,1.0,4.3,2425,276
Panasonic,200,3.0,2.0,1215.59,2024,42190,63900,33,1.0,4.2,794,69
Voltas,150,3.0,1.5,859.325,2024,28990,45990,36,1.0,4.2,12192,1216
Panasonic,150,5.0,1.5,774.19,2024,42850,65400,34,1.0,4.3,20029,2152
Godrej,150,3.0,1.4,905.88,2025,26990,40450,33,5.0,3.9,2565,205
Voltas,90,3.0,1.0,672.93,2025,27990,52390,46,5.0,4.1,7833,861
Voltas,200,3.0,2.0,1220.59,2023,39549,79990,50,1.0,4.1,1623,146
Panasonic,90,4.0,1.0,601.5,2024,30970,51100,39,1.0,4.2,592,50
ONIDA,150,3.0,1.5,952.59,2025,27270,42290,35,1.0,4.1,15072,1776
Godrej,90,5.0,1.0,516.37,2025,30490,45050,32,5.0,4.0,2352,235
Lloyd,150,5.0,1.5,751.65,2025,45499,77990,41,1.0,4.1,10738,1307
LG,150,4.0,1.5,838.5,2023,32999,95990,65,1.0,4.1,2016,222
Blue Star,150,5.0,1.5,859.325,2025,33570,49900,32,1.0,4.2,1423,139
Lloyd,150,3.0,1.5,989.8,2025,36490,58490,37,1.0,4.1,19215,2111
Samsung,90,3.0,1.0,626.62,2025,28990,53490,45,1.0,4.2,8392,905
CARRIER,150,5.0,1.5,754.05,2025,39490,70100,43,1.0,4.2,24631,3377
Voltas,150,3.0,1.5,859.325,2025,32599,68999,52,1.0,4.2,76440,6627
Lloyd,150,3.0,1.5,859.325,2025,30699,60990,49,1.0,4.1,19215,2111
Godrej,150,3.0,1.5,951.91,2025,29490,42300,30,5.0,4.0,18307,1520
Hisense,90,3.0,1.0,859.325,2025,28990,39630,26,1.0,4.1,457,87
LG,150,3.0,1.5,859.325,2025,72990,57798,40,1.0,4.1,39723,3780
IFB,150,3.0,1.5,1002.83,2024,39700,72000,44,1.0,4.2,7601,805
realme,150,5.0,1.5,781.88,2025,61699,57798,40,1.0,4.2,4330,568
Daikin,150,3.0,1.5,989.31,2023,37990,55600,31,1.0,4.2,20497,1541
Godrej,150,3.0,1.4,905.88,2025,26990,40450,33,5.0,3.9,2565,205
Voltas,90,3.0,1.0,672.93,2025,27990,52390,46,5.0,4.1,7833,861
Lloyd,200,3.0,2.0,1264.42,2025,42490,71490,40,1.0,3.9,619,51
Haier,150,3.0,1.5,1192.12,2025,25370,43600,41,1.0,3.9,409,36
ONIDA,150,3.0,1.5,952.59,2025,27270,42290,35,1.0,4.1,15072,1776
Godrej,90,5.0,1.0,516.37,2025,30490,45050,32,5.0,4.0,2352,235
Daikin,150,3.0,1.5,859.325,2024,36499,53800,32,1.0,4.2,20497,1541
Hitachi,200,3.0,2.0,1277.22,2023,41900,74050,43,1.0,4.0,507,67
Lloyd,150,5.0,1.5,758.96,2024,35999,67990,47,1.0,4.1,10738,1307
Lloyd,150,3.0,1.5,1180.51,2024,26590,40900,34,1.0,4.1,3118,334
Samsung,90,3.0,1.0,626.62,2025,28990,53490,45,1.0,4.2,8392,905
